#1


float Room-304 (4011,2)
0.0,0
30.25,1
30.5,0
32.5,1
32.75,0
33.25,1
36.0,0
36.25,1
36.75,0
37.25,1
37.5,0
37.75,1
38.5,0
38.75,1
40.75,0
41.0,1
41.5,0
44.5,1
44.75,0
45.25,1
45.5,0
45.75,1
46.0,0
56.75,1
57.0,0
57.25,1
63.25,0
63.5,1
65.5,0
68.0,1
68.25,0
70.25,1
70.5,0
80.0,1
80.25,0
80.5,1
80.75,0
81.0,1
81.25,0
81.5,1
84.25,0
84.5,1
85.25,0
85.5,1
89.0,0
89.25,1
89.5,0
91.75,1
92.0,0
93.0,1
93.25,0
105.0,1
107.75,0
108.0,1
108.75,0
109.25,1
109.75,0
110.0,1
112.0,0
112.25,1
112.75,0
113.25,1
113.5,0
114.75,1
115.0,0
117.0,1
117.25,0
128.75,1
129.0,0
129.5,1
131.75,0
132.25,1
133.0,0
133.25,1
136.25,0
136.5,1
136.75,0
137.0,1
137.25,0
140.25,1
141.0,0
198.25,1
198.5,0
201.5,1
201.75,0
202.0,1
204.0,0
204.5,1
206.0,0
206.25,1
209.0,0
210.5,1
211.0,0
225.5,1
226.0,0
226.25,1
227.5,0
227.75,1
228.0,0
228.25,1
228.5,0
228.75,1
232.0,0
232.25,1
233.75,0
236.5,1
236.75,0
237.25,1
237.5,0
237.75,1
238.0,0
247.25,1
247.5,0
248.75,1
249.0,0
249.5,1
252.0,0
252.25,1
253.5,0
253.75,1
257.25,0
260.0,1
260.25,0
260.5,1
260.75,0
271.25,1
271.5,0
272.75,1
273.5,0
273.75,1
274.5,0
274.75,1
275.75,0
276.0,1
277.5,0
278.0,1
279.75,0
280.0,1
281.25,0
281.5,1
281.75,0
285.25,1
285.5,0
286.0,1
286.25,0
288.0,1
288.25,0
289.75,1
290.0,0
290.25,1
290.5,0
292.25,1
292.5,0
295.25,1
295.5,0
296.0,1
296.25,0
296.5,1
296.75,0
297.0,1
297.5,0
297.75,1
298.75,0
299.0,1
301.75,0
302.25,1
303.0,0
303.25,1
305.0,0
305.25,1
305.75,0
308.5,1
309.25,0
369.25,1
371.75,0
372.0,1
372.25,0
372.5,1
377.25,0
380.0,1
380.5,0
381.0,1
381.25,0
393.25,1
394.0,0
394.5,1
397.25,0
397.5,1
399.25,0
399.75,1
400.5,0
401.25,1
401.5,0
403.5,1
403.75,0
441.0,1
446.75,0
447.0,1
449.25,0
451.75,1
452.0,0
453.75,1
454.0,0
465.25,1
466.0,0
466.25,1
471.75,0
472.0,1
473.5,0
476.0,1
476.25,0
476.5,1
476.75,0
535.25,1
535.75,0
536.0,1
536.25,0
537.75,1
538.5,0
539.0,1
541.25,0
541.5,1
541.75,0
542.0,1
543.0,0
543.25,1
545.5,0
548.75,1
549.0,0
561.0,1
565.25,0
565.5,1
566.0,0
566.25,1
568.0,0
568.25,1
568.5,0
569.0,1
569.25,0
570.5,1
570.75,0
572.0,1
572.25,0
583.5,1
583.75,0
585.0,1
585.75,0
586.0,1
588.25,0
588.5,1
590.25,0
590.75,1
591.5,0
591.75,1
593.0,0
596.25,1
596.75,0
608.5,1
608.75,0
609.5,1
609.75,0
610.0,1
613.25,0
613.5,1
614.5,0
614.75,1
615.0,0
615.25,1
617.5,0
617.75,1
618.0,0
619.5,1
619.75,0
620.25,1
620.5,0
621.25,1
621.5,0
622.25,1
622.75,0
632.5,1
632.75,0
633.25,1
634.0,0
634.25,1
636.5,0
637.0,1
641.25,0
641.75,1
642.0,0
645.25,1
645.5,0
705.25,1
705.5,0
705.75,1
708.5,0
708.75,1
709.0,0
709.25,1
709.5,0
709.75,1
712.0,0
712.25,1
713.5,0
716.25,1
716.5,0
728.75,1
729.5,0
729.75,1
733.0,0
733.25,1
734.25,0
734.5,1
735.75,0
736.25,1
736.5,0
736.75,1
737.25,0
740.5,1
740.75,0
752.75,1
753.0,0
753.25,1
758.25,0
758.5,1
761.0,0
761.75,1
762.25,0
764.5,1
764.75,0
775.5,1
775.75,0
776.25,1
780.5,0
780.75,1
781.0,0
781.25,1
781.75,0
782.0,1
782.75,0
783.0,1
785.0,0
787.25,1
787.75,0
798.25,1
798.5,0
799.25,1
799.5,0
801.0,1
801.5,0
801.75,1
805.25,0
805.5,1
807.5,0
807.75,1
809.25,0
809.75,1
810.0,0
812.0,1
812.25,0
813.25,1
813.5,0
870.5,1
870.75,0
873.5,1
874.0,0
874.25,1
875.0,0
875.25,1
876.5,0
876.75,1
881.0,0
881.25,1
881.5,0
884.75,1
885.0,0
896.75,1
897.0,0
897.25,1
897.75,0
898.0,1
900.0,0
900.25,1
903.5,0
903.75,1
904.75,0
905.0,1
905.25,0
907.75,1
908.0,0
909.25,1
909.5,0
920.25,1
920.5,0
920.75,1
921.0,0
921.25,1
921.5,0
921.75,1
922.0,0
922.25,1
923.0,0
923.25,1
923.75,0
924.25,1
925.0,0
925.25,1
925.5,0
925.75,1
926.0,0
926.25,1
929.5,0
931.5,1
931.75,0
933.25,1
933.75,0
944.5,1
947.75,0
948.0,1
948.25,0
948.5,1
949.0,0
949.25,1
950.75,0
951.0,1
953.0,0
955.25,1
955.5,0
969.25,1
972.25,0
972.5,1
973.0,0
973.25,1
977.0,0
980.75,1
981.25,0
982.25,1
982.5,0
1041.0,1
1042.0,0
1042.25,1
1043.5,0
1043.75,1
1044.5,0
1045.0,1
1047.0,0
1047.25,1
1049.25,0
1051.0,1
1051.25,0
1054.0,1
1054.25,0
1064.75,1
1073.25,0
1076.75,1
1077.25,0
1077.5,1
1077.75,0
1112.25,1
1112.75,0
1113.0,1
1114.0,0
1114.25,1
1115.75,0
1116.0,1
1119.0,0
1119.25,1
1121.0,0
1124.25,1
1124.5,0
1124.75,1
1125.0,0
1126.25,1
1126.5,0
