#1


float Room-340A (1153,2)
0.0,0
31.0,1
31.5,0
32.5,1
41.75,0
42.0,1
42.25,0
54.25,1
55.0,0
56.25,1
66.0,0
78.5,1
78.75,0
80.5,1
89.5,0
92.75,1
93.0,0
93.75,1
94.0,0
104.75,1
113.75,0
116.25,1
116.5,0
128.5,1
137.75,0
138.0,1
138.25,0
141.25,1
141.5,0
200.0,1
200.25,0
200.5,1
209.25,0
212.25,1
212.5,0
221.75,1
222.0,0
224.75,1
233.75,0
246.75,1
247.0,0
248.5,1
257.5,0
272.0,1
281.0,0
281.5,1
281.75,0
289.25,1
289.5,0
295.0,1
295.25,0
296.25,1
305.75,0
367.75,1
368.5,0
368.75,1
378.0,0
392.75,1
402.25,0
439.75,1
450.25,0
464.5,1
473.75,0
536.5,1
546.5,0
558.5,1
558.75,0
560.25,1
569.5,0
584.5,1
594.0,0
596.0,1
596.25,0
596.75,1
597.0,0
606.5,1
606.75,0
607.0,1
607.25,0
608.25,1
617.75,0
631.25,1
631.5,0
632.5,1
642.0,0
704.25,1
713.75,0
728.0,1
737.5,0
752.75,1
761.75,0
775.25,1
785.5,0
798.5,1
798.75,0
800.25,1
809.25,0
809.5,1
809.75,0
812.5,1
812.75,0
872.75,1
881.25,0
895.75,1
896.0,0
896.5,1
905.5,0
919.5,1
929.5,0
942.75,1
943.0,0
944.5,1
954.0,0
968.5,1
977.5,0
1038.25,1
1038.5,0
1039.75,1
1049.5,0
1063.25,1
1063.5,0
1064.5,1
1073.75,0
1074.0,1
1074.25,0
1077.25,1
1077.5,0
1110.5,1
1110.75,0
1112.0,1
1121.75,0
1122.0,1
1122.25,0
1125.0,1
1125.25,0
1134.0,1
1134.25,0
1136.25,1
1145.75,0
1149.25,1
1149.5,0
1208.25,1
1218.0,0
1230.75,1
1231.0,0
1231.5,1
1241.25,0
1241.5,1
1241.75,0
1245.0,1
1245.25,0
1245.75,1
1246.0,0
1256.5,1
1265.5,0
1269.25,1
1269.5,0
1272.25,1
1272.5,0
1278.25,1
1278.5,0
1280.25,1
1289.25,0
1289.5,1
1289.75,0
1301.25,1
1301.5,0
1304.0,1
1313.75,0
1316.0,1
1316.25,0
1376.5,1
1385.5,0
1388.5,1
1388.75,0
1389.0,1
1389.25,0
1400.0,1
1409.75,0
1422.25,1
1422.5,0
1424.75,1
1433.75,0
1436.75,1
1437.0,0
1447.75,1
1448.0,0
1448.25,1
1457.25,0
1472.25,1
1481.5,0
1541.5,1
1541.75,0
1542.25,1
1542.5,0
1544.25,1
1554.25,0
1556.5,1
1556.75,0
1558.75,1
1559.0,0
1567.25,1
1567.5,0
1567.75,1
1568.0,0
1568.5,1
1577.5,0
1578.0,1
1578.25,0
1581.75,1
1582.0,0
1591.75,1
1592.0,0
1592.5,1
1601.25,0
1616.75,1
1625.25,0
1625.5,1
1625.75,0
1630.0,1
1630.25,0
1637.75,1
1638.0,0
1639.75,1
1640.0,0
1640.5,1
1649.5,0
1712.25,1
1721.5,0
1736.5,1
1745.5,0
1749.0,1
1749.25,0
1760.75,1
1770.0,0
1783.0,1
1783.25,0
1784.25,1
1793.25,0
1793.5,1
1793.75,0
1794.0,1
1794.25,0
1797.25,1
1797.5,0
1807.25,1
1807.5,0
1808.0,1
1817.25,0
1817.5,1
1817.75,0
1880.25,1
1880.5,0
1880.75,1
1890.0,0
1893.0,1
1893.25,0
1894.0,1
1894.25,0
1904.75,1
1913.75,0
1916.25,1
1916.5,0
1917.75,1
1918.0,0
1925.5,1
1925.75,0
1928.5,1
1937.5,0
1950.5,1
1950.75,0
1952.5,1
1961.25,0
1961.5,1
1961.75,0
1964.5,1
1964.75,0
1965.25,1
1965.5,0
1965.75,1
1966.0,0
1976.25,1
1986.0,0
1988.75,1
1989.0,0
2048.25,1
2057.75,0
2061.0,1
2061.25,0
2070.25,1
2070.5,0
2072.5,1
2081.75,0
2095.25,1
2095.5,0
2096.75,1
2105.25,0
2105.5,1
2105.75,0
2107.75,1
2108.0,0
2108.5,1
2108.75,0
2109.0,1
2109.25,0
2120.0,1
2129.5,0
2134.25,1
2134.5,0
2142.0,1
2142.25,0
2144.25,1
2153.0,0
2153.5,1
2154.0,0
2154.75,1
2155.0,0
2157.5,1
2157.75,0
2215.5,1
2215.75,0
2216.5,1
2225.5,0
2225.75,1
2226.0,0
2240.25,1
2249.5,0
2254.0,1
2254.25,0
2262.75,1
2263.0,0
2264.75,1
2273.75,0
2285.75,1
2286.0,0
2286.25,1
2286.5,0
2287.0,1
2287.25,0
2288.0,1
2297.25,0
2302.5,1
2302.75,0
2311.75,1
2322.0,0
2384.75,1
2393.5,0
2408.0,1
2418.0,0
2421.0,1
2421.5,0
2432.5,1
